tweet_id,favorites,retweets,user_followers_cnt,user_favourites_cnt,date_timestamp
826598799820865537,5549,287,6430863,132887,2017-02-01 01:11:25
826598365270007810,10929,2632,6430863,132887,2017-02-01 01:09:42
826476773533745153,19962,4704,6430863,132887,2017-01-31 17:06:32
826240494070030336,14385,2900,6430863,132887,2017-01-31 01:27:39
826204788643753985,5283,1053,6430863,132887,2017-01-30 23:05:46
826115272272650244,17011,3513,6430863,132887,2017-01-30 17:10:04
825876512159186944,11346,2096,6430863,132887,2017-01-30 01:21:19
825829644528148480,13808,2792,6430863,132887,2017-01-29 22:15:05
825535076884762624,56422,19292,6430863,132887,2017-01-29 02:44:34
825147591692263424,19873,5133,6430863,132887,2017-01-28 01:04:51
825120256414846976,0,1445,6430864,132887,2017-01-27 23:16:13
825026590719483904,6902,1445,6430865,132887,2017-01-27 17:04:02
824796380199809024,0,6157,6430866,132887,2017-01-27 01:49:15
824775126675836928,16262,3960,6430866,132887,2017-01-27 00:24:48
824663926340194305,10938,1948,6430866,132887,2017-01-26 17:02:56
824325613288833024,12796,11632,6430866,132887,2017-01-25 18:38:36
824297048279236611,16332,4346,6430866,132887,2017-01-25 16:45:05
824025158776213504,5183,665,6430866,132887,2017-01-24 22:44:42
823939628516474880,11566,3046,6430866,132887,2017-01-24 17:04:50
823719002937630720,0,12658,6430867,132887,2017-01-24 02:28:08
823699002998870016,13649,2710,6430868,132887,2017-01-24 01:08:40
823581115634085888,14155,2976,6430868,132887,2017-01-23 17:20:14
823333489516937216,761,29,6430868,132887,2017-01-23 00:56:15
823322678127919110,17131,4530,6430868,132887,2017-01-23 00:13:17
823269594223824897,0,11104,6430868,132887,2017-01-22 20:42:21
822975315408461824,18819,3869,6430868,132887,2017-01-22 01:12:59
822872901745569793,144006,49439,6430869,132887,2017-01-21 18:26:02
822859134160621569,14358,2566,6430869,132887,2017-01-21 17:31:20
822647212903690241,0,7206,6430869,132887,2017-01-21 03:29:14
822610361945911296,16050,3332,6430869,132887,2017-01-21 01:02:48
822489057087389700,19759,7206,6430869,132887,2017-01-20 17:00:46
822462944365645825,31190,16664,6430869,132887,2017-01-20 15:17:01
822244816520155136,38157,11104,6430869,132887,2017-01-20 00:50:15
822163064745328640,0,5431,6430869,132887,2017-01-19 19:25:24
821886076407029760,12372,2634,6430869,132887,2017-01-19 01:04:45
821813639212650496,0,3756,6430869,132887,2017-01-18 20:16:54
821765923262631936,9183,1867,6430869,132887,2017-01-18 17:07:18
821522889702862852,8723,1987,6430869,132887,2017-01-18 01:01:34
821421320206483457,0,6299,6430869,132887,2017-01-17 18:17:58
821407182352777218,12847,4913,6430869,132887,2017-01-17 17:21:47
821153421864615936,276,10,6430869,132887,2017-01-17 00:33:26
821149554670182400,9532,2268,6430869,132887,2017-01-17 00:18:04
821107785811234820,10467,2406,6430870,132887,2017-01-16 21:32:06
821044531881721856,13781,2580,6430870,132887,2017-01-16 17:20:45
820837357901512704,0,7542,6430870,132887,2017-01-16 03:37:31
820749716845686786,34405,11214,6430870,132887,2017-01-15 21:49:15
820690176645140481,13319,3632,6430870,132887,2017-01-15 17:52:40
820494788566847489,0,638,6430870,132887,2017-01-15 04:56:16
820446719150292993,0,2912,6430870,132887,2017-01-15 01:45:15
820314633777061888,3641,638,6430870,132887,2017-01-14 17:00:24
820078625395449857,21584,7081,6430870,132887,2017-01-14 01:22:35
820013781606658049,0,1330,6430870,132887,2017-01-13 21:04:55
819952236453363712,5809,1330,6430870,132887,2017-01-13 17:00:21
819924195358416896,14034,5457,6430870,132887,2017-01-13 15:08:56
819711362133872643,14658,3534,6430870,132887,2017-01-13 01:03:12
819588359383371776,10421,2218,6430870,132887,2017-01-12 16:54:26
819347104292290561,7874,1354,6430870,132887,2017-01-12 00:55:47
819238181065359361,2504,454,6430870,132887,2017-01-11 17:42:57
819227688460238848,25192,7542,6430870,132887,2017-01-11 17:01:16
819015337530290176,0,41235,6430870,132887,2017-01-11 02:57:27
819015331746349057,0,21288,6430870,132887,2017-01-11 02:57:26
819006400881917954,49177,21288,6430870,132887,2017-01-11 02:21:57
819004803107983360,94067,41235,6430870,132887,2017-01-11 02:15:36
818646164899774465,0,23481,6430870,132887,2017-01-10 02:30:30
818627210458333184,24210,8382,6430870,132887,2017-01-10 01:15:10
818614493328580609,10767,2913,6430870,132887,2017-01-10 00:24:38
818588835076603904,0,6952,6430870,132887,2017-01-09 22:42:41
818536468981415936,11925,2793,6430870,132887,2017-01-09 19:14:36
818307523543449600,0,9160,6430871,132887,2017-01-09 04:04:51
818259473185828864,12009,2567,6430871,132887,2017-01-09 00:53:55
818145370475810820,13439,2930,6430871,132887,2017-01-08 17:20:31
817908911860748288,5277,891,6430871,132887,2017-01-08 01:40:55
817827839487737858,56671,30584,6430871,132887,2017-01-07 20:18:46
817777686764523521,11692,3005,6430871,132887,2017-01-07 16:59:28
817536400337801217,12885,3429,6430871,132887,2017-01-07 01:00:41
817502432452313088,0,3823,6430871,132887,2017-01-06 22:45:43
817423860136083457,37475,16986,6430871,132887,2017-01-06 17:33:29
817415592588222464,6140,1091,6430872,132887,2017-01-06 17:00:38
817181837579653120,0,9615,6430872,132887,2017-01-06 01:31:47
817171292965273600,9526,2267,6430872,132887,2017-01-06 00:49:53
817120970343411712,13259,2957,6430872,132887,2017-01-05 21:29:55
817056546584727552,9361,1869,6430872,132887,2017-01-05 17:13:55
816829038950027264,0,5341,6430872,132887,2017-01-05 02:09:53
816816676327063552,10906,2308,6430872,132887,2017-01-05 01:20:46
816697700272001025,10711,2484,6430872,132887,2017-01-04 17:27:59
816450570814898180,33407,9160,6430872,132887,2017-01-04 01:05:59
816336735214911488,9400,2213,6430872,132887,2017-01-03 17:33:39
816091915477250048,9750,2433,6430872,132887,2017-01-03 01:20:49
816062466425819140,0,1183,6430872,132887,2017-01-02 23:23:48
816014286006976512,0,6013,6430872,132887,2017-01-02 20:12:21
815990720817401858,5457,1183,6430872,132887,2017-01-02 18:38:42
815966073409433600,24593,9615,6430872,132887,2017-01-02 17:00:46
815745968457060357,0,4668,6430872,132887,2017-01-02 02:26:09
815736392542261248,10750,2561,6430872,132887,2017-01-02 01:48:06
815639385530101762,9003,1863,6430872,132887,2017-01-01 19:22:38
815390420867969024,11292,4292,6430872,132887,2017-01-01 02:53:20
814986499976527872,8343,1467,6430872,132887,2016-12-31 00:08:17
814638523311648768,12320,3065,6430872,132887,2016-12-30 01:05:33
814578408554463233,0,6587,6430872,132887,2016-12-29 21:06:41
814530161257443328,9483,2100,6430872,132887,2016-12-29 17:54:58
814153002265309185,31445,9834,6430872,132887,2016-12-28 16:56:16
813944609378369540,0,3649,6430872,132887,2016-12-28 03:08:11
813910438903693312,10156,2131,6430872,132887,2016-12-28 00:52:25
813812741911748608,39729,15854,6430872,132887,2016-12-27 18:24:12
813800681631023104,9143,2002,6430872,132887,2016-12-27 17:36:16
813217897535406080,20429,8251,6430872,132887,2016-12-26 03:00:30
813202720496779264,10037,2037,6430872,132887,2016-12-26 02:00:11
813187593374461952,21709,4942,6430872,132887,2016-12-26 01:00:05
813172488309972993,10217,2176,6430872,132887,2016-12-26 00:00:03
813157409116065792,8463,2507,6430872,132887,2016-12-25 23:00:08
813142292504645637,9204,2666,6430872,132887,2016-12-25 22:00:04
813130366689148928,4885,500,6430872,132887,2016-12-25 21:12:41
813127251579564032,13001,3556,6430872,132887,2016-12-25 21:00:18
813112105746448384,11310,3133,6430872,132887,2016-12-25 20:00:07
813096984823349248,11512,4098,6430872,132887,2016-12-25 19:00:02
813081950185472002,10809,3133,6430872,132887,2016-12-25 18:00:17
813066809284972545,8704,2201,6430872,132887,2016-12-25 17:00:08
813051746834595840,22921,8280,6430872,132887,2016-12-25 16:00:16
812781120811126785,8273,2160,6430872,132887,2016-12-24 22:04:54
812747805718642688,0,7878,6430872,132887,2016-12-24 19:52:31
812709060537683968,7249,1624,6430872,132887,2016-12-24 17:18:34
812503143955202048,6665,1387,6430872,132887,2016-12-24 03:40:19
812466873996607488,8754,2182,6430872,132887,2016-12-24 01:16:12
812372279581671427,14981,4155,6430872,132887,2016-12-23 19:00:19
811985624773361665,7962,1590,6430873,132887,2016-12-22 17:23:53
811744202451197953,8264,1830,6430873,132887,2016-12-22 01:24:33
811647686436880384,6101,842,6430873,132887,2016-12-21 19:01:02
811627233043480576,14029,3554,6430873,132887,2016-12-21 17:39:46
811386762094317568,22886,7246,6430873,132887,2016-12-21 01:44:13
810984652412424192,5846,1618,6430873,132887,2016-12-19 23:06:23
810896069567610880,9914,2030,6430873,132887,2016-12-19 17:14:23
810657578271330305,12006,2990,6430873,132887,2016-12-19 01:26:42
810284430598270976,38901,12986,6430874,132887,2016-12-18 00:43:57
810254108431155201,16102,3801,6430874,132887,2016-12-17 22:43:27
809920764300447744,16970,4421,6430874,132887,2016-12-17 00:38:52
809808892968534016,0,5564,6430874,132887,2016-12-16 17:14:20
809448704142938112,7594,1664,6430874,132887,2016-12-15 17:23:04
809220051211603969,21867,6380,6430874,132887,2016-12-15 02:14:29
809084759137812480,14458,3969,6430874,132887,2016-12-14 17:16:53
808838249661788160,11069,3443,6430874,132887,2016-12-14 00:57:20
808733504066486276,8652,2449,6430874,132887,2016-12-13 18:01:07
808501579447930884,12371,2935,6430874,132887,2016-12-13 02:39:32
808344865868283904,46553,23481,6430874,132887,2016-12-12 16:16:49
808134635716833280,0,6766,6430874,132887,2016-12-12 02:21:26
808106460588765185,9557,2467,6430874,132887,2016-12-12 00:29:28
808001312164028416,13783,4000,6430874,132887,2016-12-11 17:31:39
807621403335917568,15992,4171,6430874,132887,2016-12-10 16:22:02
807106840509214720,123504,61500,6430875,132887,2016-12-09 06:17:20
807059379405148160,0,8312,6430875,132887,2016-12-09 03:08:45
807010152071229440,14287,4323,6430875,132887,2016-12-08 23:53:08
806629075125202948,82586,39720,6430875,132887,2016-12-07 22:38:52
806620845233815552,0,6254,6430875,132887,2016-12-07 22:06:10
806576416489959424,5296,2188,6430875,132887,2016-12-07 19:09:37
806542213899489280,11191,2694,6430875,132887,2016-12-07 16:53:43
806242860592926720,0,13265,6430875,132887,2016-12-06 21:04:11
806219024703037440,7027,1361,6430875,132887,2016-12-06 19:29:28
805958939288408065,0,6087,6430875,132887,2016-12-06 02:15:59
805932879469572096,9047,2151,6430875,132887,2016-12-06 00:32:26
805826884734976000,7215,2078,6430875,132887,2016-12-05 17:31:15
805823200554876929,0,9146,6430875,132887,2016-12-05 17:16:37
805520635690676224,6280,1876,6430875,132887,2016-12-04 21:14:20
805487436403003392,9609,2866,6430875,132887,2016-12-04 19:02:24
805207613751304193,8527,1923,6430875,132887,2016-12-04 00:30:29
804738756058218496,15087,4367,6430875,132887,2016-12-02 17:27:25
804475857670639616,6758,2285,6430875,132887,2016-12-02 00:02:45
804413760345620481,0,3642,6430875,132887,2016-12-01 19:56:00
804026241225523202,48937,18403,6430875,132887,2016-11-30 18:16:08
803773340896923648,11026,3141,6430875,132887,2016-11-30 01:31:12
